 time            v(c1_node)      v(c2_node)      v(c1_wl)        v(c1_bl)        v(c2_wl)        v(c2_bl)       
 4.38063400e-06 -2.63226744e-06  2.53217067e-06  2.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 4.43063400e-06  2.52762543e-06 -2.42921712e-06  2.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 4.44924000e-06 -2.26675150e-06  2.17222449e-06  2.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 4.44934000e-06 -1.96473206e-06  1.79913723e-06  1.80000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 4.44954000e-06 -1.55104928e-06  1.15044813e-06  1.40000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 4.44994000e-06 -1.44122878e-06  3.49387557e-07  6.00000000e-01  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 4.45024000e-06 -1.55202543e-06  1.05428012e-07  0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 4.45032000e-06 -1.56266489e-06  8.19685602e-08  5.11477229e-05  3.06886338e-05  2.00000000e+00  0.00000000e+00 
 4.45048000e-06 -1.57920107e-06  4.54843419e-08  1.53443169e-04  9.20659013e-05  2.00000000e+00  0.00000000e+00 
 4.45080000e-06 -1.59417145e-06  1.23426738e-08  3.58034061e-04  2.14820436e-04  2.00000000e+00  0.00000000e+00 
 4.45144000e-06 -1.59999921e-06 -8.88784378e-10  7.67215844e-04  4.60329506e-04  2.00000000e+00  0.00000000e+00 
 4.45272000e-06 -1.59910008e-06  2.70349563e-10  1.58557941e-03  9.51347647e-04  2.00000000e+00  0.00000000e+00 
 4.45528000e-06 -1.59859915e-06 -2.65123883e-10  3.22230654e-03  1.93338393e-03  2.00000000e+00  0.00000000e+00 
 4.46040000e-06 -1.59694009e-06  1.12186055e-10  6.49576081e-03  3.89745649e-03  2.00000000e+00  0.00000000e+00 
 4.47064000e-06 -1.59411387e-06 -2.06340087e-10  1.30426693e-02  7.82560161e-03  2.00000000e+00  0.00000000e+00 
 4.49112000e-06 -1.58805508e-06  8.70803569e-11  2.61364864e-02  1.56818919e-02  2.00000000e+00  0.00000000e+00 
 4.53208000e-06 -1.57639788e-06 -1.93868709e-10  5.23241206e-02  3.13944723e-02  2.00000000e+00  0.00000000e+00 
 4.58208000e-06 -1.56200549e-06  8.10776747e-11  8.42914474e-02  5.05748684e-02  2.00000000e+00  0.00000000e+00 
 4.59924000e-06 -1.55725814e-06 -1.81561284e-10  9.52626340e-02  5.71575804e-02  2.00000000e+00  0.00000000e+00 
 4.59934000e-06 -1.55721798e-06 -1.55500421e-10  9.53265686e-02  5.71959412e-02  1.80000000e+00  0.00000000e+00 
 4.59954000e-06 -1.55714743e-06 -1.24863354e-10  9.54544379e-02  5.72726628e-02  1.40000000e+00  0.00000000e+00 
 4.59994000e-06 -1.55704770e-06 -1.54627692e-10  9.57101765e-02  5.74261059e-02  6.00000000e-01  0.00000000e+00 
 4.60024000e-06 -1.55698930e-06 -2.13000622e-10  9.59019805e-02  5.75411883e-02  0.00000000e+00  0.00000000e+00 
 4.60032000e-06 -1.55697373e-06 -2.28565842e-10  9.59531282e-02  5.75718769e-02  5.11477229e-05  0.00000000e+00 
 4.60048000e-06 -1.55694259e-06 -2.59695657e-10  9.60554237e-02  5.76332542e-02  1.53443169e-04  0.00000000e+00 
 4.60080000e-06 -1.55688030e-06 -3.21951552e-10  9.62600146e-02  5.77560087e-02  3.58034061e-04  0.00000000e+00 
 4.60144000e-06 -1.55675575e-06 -4.46448397e-10  9.66691963e-02  5.80015178e-02  7.67215844e-04  0.00000000e+00 
 4.60272000e-06 -1.55650670e-06 -6.95382320e-10  9.74875599e-02  5.84925359e-02  1.58557941e-03  0.00000000e+00 
 4.60528000e-06 -1.55600884e-06 -1.19301119e-09  9.91242870e-02  5.94745722e-02  3.22230654e-03  0.00000000e+00 
