timestamp_utc,timestamp_epoch_s,phase,temp_c,freq_khz
2025-05-14T13:12:58Z,1747228378,recovery,38.0,3400000
2025-05-14T13:12:59Z,1747228379,recovery,39.0,3400000
2025-05-14T13:13:00Z,1747228380,recovery,73.0,4100000
2025-05-14T13:13:01Z,1747228381,recovery,40.0,3600000
2025-05-14T13:13:02Z,1747228382,recovery,39.0,3500000
2025-05-14T13:13:03Z,1747228383,recovery,39.0,3600000
2025-05-14T13:13:04Z,1747228384,recovery,39.0,3200000
2025-05-14T13:13:05Z,1747228385,recovery,85.0,4199000
2025-05-14T13:13:06Z,1747228386,recovery,40.0,3833000
2025-05-14T13:13:07Z,1747228387,recovery,39.0,3400000
2025-05-14T13:13:08Z,1747228388,recovery,39.0,3300000
2025-05-14T13:13:09Z,1747228389,recovery,39.0,1100000
2025-05-14T13:13:10Z,1747228390,recovery,74.0,4107000
2025-05-14T13:13:11Z,1747228391,recovery,40.0,3500000
2025-05-14T13:13:12Z,1747228392,recovery,39.0,3400000
2025-05-14T13:13:13Z,1747228393,recovery,39.0,3200000
2025-05-14T13:13:14Z,1747228394,recovery,39.0,4091000
2025-05-14T13:13:15Z,1747228395,recovery,88.0,4281000
